State,X,Y
Andhra Pradesh,-38,-130
Arunachal Pradesh,208,96
Assam,142,54
Bihar,60,50
Chhattisgarh,2,-26
Delhi,-72,103
Goa,-124,-126
Gujarat,-165,5
Haryana,-86,112
Himachal Pradesh,-52,162
Jammu & Kashmir,-108,197
Jharkhand,50,17
Karnataka,-106,-150
Kerala,-85,-203
Ladakh,-65,206
Maharashtra,-119,-66
Madhya Pradesh,-50,1
Manipur,192,34
Meghalaya,140,39
Mizoram,177,6
Nagaland,205,58
Odisha,45,-39
Punjab,-97,148
Rajasthan,-129,67
Sikkim,107,86
Tamil Nadu,-55,-195
Tripura,157,14
Telangana,-48,-90
Uttar Pradesh,-25,77
Uttarakhand,-21,132
West Bengal,99,5
Andaman Nicobar,177,-176
Chandigarh,-117,139
Dadra Nagar Haveli,-138,-35
Diu Daman,-138,-45
Lakshadweep,-149,-202
Puducherry,-32,-183
